pollutant,country,month_day,value_numeric_mean,value_datetime_begin,day
O3,Estonia,520.0,58.59421647058824,2023-05-20 21:00:00,
O3,Estonia,520.0,58.59421647058824,2023-05-20 22:00:00,
PM10,Estonia,520.0,8.783264166666667,2023-05-20 17:00:00,
PM10,Estonia,520.0,8.783264166666667,2023-05-20 18:00:00,
PM10,Estonia,520.0,8.783264166666667,2023-05-20 19:00:00,
PM10,Estonia,520.0,8.783264166666667,2023-05-20 20:00:00,
PM10,Estonia,520.0,8.783264166666667,2023-05-20 21:00:00,
PM10,Estonia,520.0,8.783264166666667,2023-05-20 22:00:00,
SO2,Czech Republic,520.0,3.154576271186441,2023-05-20 22:00:00,
SO2,Czech Republic,520.0,3.154576271186441,2023-05-20 19:00:00,
SO2,Czech Republic,520.0,3.154576271186441,2023-05-20 18:00:00,
SO2,Czech Republic,520.0,3.154576271186441,2023-05-20 17:00:00,
SO2,Czech Republic,520.0,3.154576271186441,2023-05-20 21:00:00,
SO2,Czech Republic,520.0,3.154576271186441,2023-05-20 20:00:00,
CO,Germany,520.0,0.2477862025171625,2023-05-20 21:00:00,
CO,Germany,520.0,0.2477862025171625,2023-05-20 22:00:00,
O3,Undefined,520.0,81.65318111111111,2023-05-20 22:00:00,
O3,Undefined,520.0,81.65318111111111,2023-05-20 21:00:00,
O3,Undefined,520.0,81.65318111111111,2023-05-20 20:00:00,
O3,Undefined,520.0,81.65318111111111,2023-05-20 19:00:00,
O3,Undefined,520.0,81.65318111111111,2023-05-20 18:00:00,
O3,Undefined,520.0,81.65318111111111,2023-05-20 17:00:00,
CO,Undefined,520.0,0.2233812944444444,2023-05-20 22:00:00,
CO,Undefined,520.0,0.2233812944444444,2023-05-20 21:00:00,
CO,Undefined,520.0,0.2233812944444444,2023-05-20 20:00:00,
CO,Germany,520.0,0.2477862025171625,2023-05-20 20:00:00,
CO,Germany,520.0,0.2477862025171625,2023-05-20 19:00:00,
CO,Germany,520.0,0.2477862025171625,2023-05-20 18:00:00,
CO,Czech Republic,520.0,0.4631472713432836,2023-05-20 17:00:00,
SO2,Germany,520.0,1.3233588356660413,2023-05-20 22:00:00,
SO2,Germany,520.0,1.3233588356660413,2023-05-20 21:00:00,
SO2,Germany,520.0,1.3233588356660413,2023-05-20 20:00:00,
SO2,Germany,520.0,1.3233588356660413,2023-05-20 19:00:00,
